"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","64,330.0","63,819.0","64,670.0","62,713.0","1.25M","0.80%"
"10/28/2022","63,819.0","64,925.0","64,925.0","63,564.0","1.01M","-1.06%"
"10/27/2022","64,500.0","63,053.0","64,840.0","62,713.0","1.08M","2.71%"
"10/26/2022","62,798.0","63,394.0","63,394.0","61,862.0","718.87K","0.82%"
"10/25/2022","62,287.0","60,756.0","63,394.0","60,500.0","1.80M","2.95%"
"10/24/2022","60,500.0","62,883.0","63,394.0","60,415.0","1.64M","-3.79%"
"10/21/2022","62,883.0","66,117.0","66,117.0","62,883.0","1.80M","-5.01%"
"10/20/2022","66,202.0","64,500.0","66,797.0","64,074.0","1.99M","3.05%"
"10/19/2022","64,245.0","63,734.0","64,840.0","63,564.0","1.18M","0.80%"
"10/18/2022","63,734.0","62,968.0","64,074.0","62,968.0","1.01M","1.49%"
"10/17/2022","62,798.0","62,543.0","62,883.0","61,777.0","813.51K","-0.27%"
"10/14/2022","62,968.0","63,309.0","63,394.0","62,628.0","970.83K","1.37%"
"10/13/2022","62,117.0","61,437.0","62,117.0","60,841.0","953.58K","0.83%"
"10/12/2022","61,607.0","60,415.0","62,373.0","60,415.0","1.68M","1.97%"
"10/11/2022","60,415.0","62,968.0","62,968.0","60,415.0","1.83M","-4.05%"
"10/10/2022","62,968.0","62,543.0","64,245.0","61,351.0","1.87M","0.00%"
"10/07/2022","62,968.0","64,840.0","64,840.0","62,968.0","2.37M","-3.27%"
"10/06/2022","65,095.0","67,138.0","67,138.0","65,095.0","1.46M","-2.42%"
"10/05/2022","66,712.0","67,223.0","67,648.0","66,712.0","1.12M","1.16%"
"10/04/2022","65,946.0","66,372.0","67,223.0","65,691.0","2.35M","0.65%"
"10/03/2022","65,521.0","67,733.0","68,329.0","65,010.0","1.43M","-4.35%"
"09/30/2022","68,499.0","65,521.0","68,754.0","65,436.0","2.43M","4.55%"
"09/29/2022","65,521.0","67,904.0","68,159.0","65,521.0","1.50M","-1.28%"
"09/28/2022","66,372.0","68,159.0","68,414.0","66,372.0","2.36M","-3.11%"
"09/27/2022","68,499.0","69,776.0","69,776.0","68,499.0","1.07M","-1.23%"
"09/26/2022","69,350.0","69,350.0","69,776.0","68,329.0","2.14M","-1.09%"
"09/23/2022","70,116.0","70,712.0","70,712.0","69,861.0","966.69K","-0.60%"
"09/22/2022","70,541.0","69,776.0","70,626.0","69,690.0","1.35M","0.73%"
"09/21/2022","70,031.0","70,882.0","70,882.0","70,031.0","891.71K","-1.32%"
"09/20/2022","70,967.0","70,712.0","71,307.0","70,031.0","661.25K","0.36%"
"09/19/2022","70,712.0","70,201.0","71,137.0","69,690.0","2.05M","0.73%"
"09/16/2022","70,201.0","71,222.0","71,392.0","70,201.0","1.56M","-1.43%"
"09/15/2022","71,222.0","71,903.0","71,903.0","71,222.0","897.58K","-0.36%"
"09/14/2022","71,477.0","71,052.0","71,903.0","71,052.0","1.51M","-0.71%"
"09/13/2022","71,988.0","72,328.0","72,584.0","71,733.0","1.20M","0.00%"
"09/12/2022","71,988.0","72,413.0","72,498.0","71,733.0","823.40K","0.36%"
"09/09/2022","71,733.0","71,988.0","72,328.0","71,733.0","1.32M","0.00%"
"09/08/2022","71,733.0","71,562.0","72,328.0","71,307.0","1.31M","0.36%"
"09/07/2022","71,477.0","72,754.0","73,094.0","71,477.0","2.57M","-2.10%"
"09/06/2022","73,009.0","73,179.0","73,520.0","73,009.0","1.35M","-0.46%"
"09/05/2022","73,349.0","73,605.0","73,775.0","73,094.0","1.17M","-0.46%"
"08/31/2022","73,690.0","73,009.0","74,030.0","73,009.0","1.35M","0.23%"
"08/30/2022","73,520.0","73,605.0","74,030.0","73,179.0","1.33M","-0.12%"
"08/29/2022","73,605.0","74,030.0","74,030.0","72,073.0","2.56M","-0.80%"
"08/26/2022","74,200.0","73,520.0","74,711.0","73,434.0","2.23M","1.04%"
"08/25/2022","73,434.0","73,349.0","73,775.0","73,179.0","1.32M","0.12%"
